  -5.000E-03   3.708E-03   0.000E+00   0.000E+00
  -4.920E-03   3.708E-03   2.438E+06   0.000E+00
  -4.894E-03   3.706E-03   1.817E+06   0.000E+00
  -3.770E-03   3.272E-03   9.440E+05   0.000E+00
  -4.763E-03   3.691E-03   8.599E+05   0.000E+00
  -4.736E-03   3.687E-03   9.174E+05   0.000E+00
  -3.613E-03   3.169E-03   1.457E+06   0.000E+00
   3.959E-03   3.386E-03   9.123E+05   0.000E+00
  -3.489E-03   3.073E-03   7.537E+06   0.000E+00
   3.499E-03   3.088E-03   3.063E+06   0.000E+00
   3.748E-03   3.261E-03   8.528E+05   0.000E+00
  -4.355E-03   3.551E-03   6.872E+06   6.295E+06
  -3.541E-03   3.111E-03   3.064E+06   0.000E+00
  -4.237E-05   1.303E-03   1.463E+07   1.270E+06
   3.183E-03   2.983E-03   8.242E+06  -1.885E+07
  -3.327E-03   3.021E-03   1.736E+06   1.566E+07
   2.852E-03   2.718E-03   7.228E+05  -2.217E+06
  -2.871E-03   2.753E-03   1.076E+07   2.257E+07
   3.111E-03   2.918E-03   6.186E+06  -5.220E+06
  -2.909E-03   2.791E-03   1.002E+07   1.973E+07
  -2.776E-03   2.659E-03   5.278E+07   0.000E+00
  -2.646E-03   2.621E-03   1.195E+07   0.000E+00
  -2.614E-03   2.605E-03  -2.035E+06   2.919E+07
  -2.581E-03   2.576E-03   1.688E+07   4.507E+07
  -2.527E-03   2.547E-03   2.378E+07   1.840E+07
  -2.491E-03   2.521E-03   1.011E+07  -1.616E+05
  -2.472E-03   2.500E-03   1.001E+07   5.325E+06
  -2.454E-03   2.477E-03   1.293E+07   1.101E+07
  -2.439E-03   2.433E-03   2.965E+07   1.487E+07
  -2.437E-03   2.425E-03   7.270E+06   0.000E+00
  -2.422E-03   2.407E-03  -2.450E+06   1.739E+07
  -2.410E-03   2.389E-03   2.980E+06   1.158E+06
  -2.386E-03   2.367E-03   2.479E+06   1.483E+06
  -2.380E-03   2.361E-03  -5.538E+06   0.000E+00
  -2.366E-03   2.344E-03   1.384E+07   0.000E+00
  -2.352E-03   2.328E-03  -5.893E+06   1.965E+07
  -2.339E-03   2.313E-03  -1.508E+06   1.266E+07
  -2.322E-03   2.297E-03   3.429E+05   1.158E+07
  -2.308E-03   2.277E-03  -4.348E+05   7.718E+06
  -2.295E-03   2.256E-03  -2.715E+05   8.677E+06
  -2.276E-03   2.229E-03  -6.802E+05   9.687E+06
  -2.264E-03   2.213E-03   2.223E+06   2.266E+07
  -2.251E-03   2.193E-03   6.806E+06   1.738E+07
  -2.206E-03   2.121E-03   2.634E+06  -2.165E+06
  -2.190E-03   2.099E-03   3.876E+05   0.000E+00
  -2.172E-03   2.077E-03  -3.036E+05   1.979E+06
  -2.155E-03   2.055E-03  -2.042E+05   2.154E+06
  -2.138E-03   2.032E-03  -2.589E+05   2.564E+06
  -2.122E-03   2.008E-03  -2.509E+05   2.856E+06
  -2.106E-03   1.985E-03  -2.955E+05   3.082E+06
  -2.086E-03   1.963E-03  -1.877E+05   3.378E+06
  -2.058E-03   1.917E-03  -8.188E+05   4.067E+06
  -2.037E-03   1.896E-03   9.063E+05   5.737E+06
  -2.003E-03   1.848E-03  -1.046E+06   3.539E+06
  -1.980E-03   1.829E-03   7.168E+05   5.653E+06
  -1.939E-03   1.783E-03  -1.268E+06   2.820E+06
  -1.918E-03   1.762E-03  -1.474E+06   5.002E+06
  -1.889E-03   1.745E-03  -2.797E+04   7.060E+06
  -1.862E-03   1.725E-03  -7.063E+05   5.866E+06
  -1.833E-03   1.708E-03  -8.372E+05   7.766E+06
  -1.802E-03   1.692E-03  -4.291E+05   9.995E+06
  -1.768E-03   1.680E-03   1.595E+06   1.203E+07
  -1.729E-03   1.667E-03   3.182E+06   1.109E+07
  -1.690E-03   1.652E-03   2.486E+06   9.232E+06
  -1.647E-03   1.638E-03   3.618E+06   9.802E+06
  -1.601E-03   1.623E-03   3.726E+06   8.880E+06
  -1.553E-03   1.609E-03   4.561E+06   8.771E+06
  -1.501E-03   1.593E-03   4.922E+06   8.189E+06
  -1.451E-03   1.575E-03   4.485E+06   5.492E+06
  -1.394E-03   1.560E-03   6.323E+06   6.590E+06
  -1.335E-03   1.543E-03   4.429E+06   5.488E+06
  -1.275E-03   1.528E-03   4.422E+06   6.596E+06
  -1.212E-03   1.515E-03   5.096E+06   5.162E+06
  -1.146E-03   1.502E-03   6.154E+06   6.665E+06
  -1.075E-03   1.487E-03   6.556E+06   5.557E+06
  -9.980E-04   1.472E-03   6.483E+06   4.418E+06
  -9.206E-04   1.458E-03   8.846E+06   5.039E+06
  -8.358E-04   1.439E-03   8.782E+06   3.546E+06
  -7.532E-04   1.425E-03   8.751E+06   4.068E+06
  -6.685E-04   1.409E-03   9.839E+06   3.896E+06
  -5.828E-04   1.392E-03   1.031E+07   3.521E+06
  -4.987E-04   1.375E-03   1.031E+07   3.554E+06
  -4.153E-04   1.359E-03   1.061E+07   3.668E+06
  -3.344E-04   1.345E-03   1.176E+07   3.852E+06
  -2.518E-04   1.331E-03   1.394E+07   3.727E+06
  -1.664E-04   1.318E-03   1.462E+07   3.278E+06
  -8.304E-05   1.306E-03   1.468E+07   1.849E+06
  -1.439E-06   1.302E-03   1.485E+07   5.239E+05
   7.943E-05   1.301E-03   1.478E+07  -5.456E+05
   1.584E-04   1.303E-03   1.484E+07  -1.516E+06
   2.389E-04   1.312E-03   1.512E+07  -2.991E+06
   3.211E-04   1.325E-03   1.517E+07  -3.939E+06
   4.051E-04   1.338E-03   1.471E+07  -4.520E+06
   4.884E-04   1.351E-03   1.427E+07  -4.884E+06
   5.709E-04   1.364E-03   1.353E+07  -5.341E+06
   6.520E-04   1.380E-03   1.222E+07  -4.842E+06
   7.312E-04   1.393E-03   1.175E+07  -5.367E+06
   8.062E-04   1.405E-03   1.045E+07  -4.783E+06
   8.824E-04   1.420E-03   1.075E+07  -4.971E+06
   1.026E-03   1.451E-03   9.826E+06  -6.318E+06
   1.097E-03   1.467E-03   8.093E+06  -5.980E+06
   1.162E-03   1.483E-03   7.973E+06  -5.655E+06
   1.226E-03   1.502E-03   9.213E+06  -6.856E+06
   1.286E-03   1.520E-03   6.856E+06  -5.961E+06
   1.343E-03   1.538E-03   6.513E+06  -6.562E+06
   1.397E-03   1.554E-03   6.111E+06  -7.532E+06
   1.450E-03   1.570E-03   5.153E+06  -7.669E+06
   1.499E-03   1.586E-03   5.267E+06  -8.645E+06
   1.547E-03   1.600E-03   4.337E+06  -8.191E+06
   1.594E-03   1.616E-03   4.454E+06  -9.592E+06
   1.638E-03   1.629E-03   2.585E+06  -8.098E+06
   1.678E-03   1.644E-03   3.479E+06  -8.596E+06
   1.716E-03   1.658E-03   2.825E+06  -9.420E+06
   1.751E-03   1.673E-03   2.150E+06  -9.945E+06
   1.783E-03   1.688E-03   1.198E+06  -9.357E+06
   1.812E-03   1.705E-03   9.177E+05  -9.227E+06
   1.840E-03   1.722E-03   3.273E+05  -8.850E+06
   1.866E-03   1.740E-03  -4.068E+04  -8.965E+06
   1.892E-03   1.759E-03  -9.417E+05  -7.584E+06
   1.916E-03   1.778E-03  -8.878E+05  -6.804E+06
   1.939E-03   1.797E-03  -8.974E+05  -6.628E+06
   1.960E-03   1.816E-03  -9.321E+05  -6.513E+06
